,subject,day,session,left_dots,right_dots,optout_type,response,accuracy,RT,block,difficulty,score
299,2,1,2,50,60,deterministic,left,1,564.4149999989168,deterministic_optout,1.0,3.0
300,2,1,2,50,52,deterministic,optout,False,786.2299999997049,deterministic_optout,3.0,2.0
301,2,1,2,50,64,deterministic,left,1,653.824999999415,deterministic_optout,0.0,3.0
302,2,1,2,52,50,deterministic,optout,False,686.4699999987351,deterministic_optout,3.0,2.0
303,2,1,2,56,50,deterministic,optout,False,1173.4100000012404,deterministic_optout,2.0,2.0
304,2,1,2,56,50,deterministic,optout,False,812.8750000014406,deterministic_optout,2.0,2.0
305,2,1,2,60,50,deterministic,right,1,996.9199999995908,deterministic_optout,1.0,3.0
306,2,1,2,50,60,deterministic,left,1,642.1050000008108,deterministic_optout,1.0,3.0
307,2,1,2,50,60,none,left,1,596.1599999991449,deterministic_optout,1.0,3.0
308,2,1,2,50,52,deterministic,left,1,1114.4950000016252,deterministic_optout,3.0,3.0
309,2,1,2,50,60,deterministic,left,1,796.8900000014401,deterministic_optout,1.0,3.0
310,2,1,2,50,56,deterministic,left,1,1137.6149999996414,deterministic_optout,2.0,3.0
311,2,1,2,50,64,deterministic,left,1,1109.9999999987776,deterministic_optout,0.0,3.0
